Detail_ID,Job (rel Job_ID),DetailType,Detail,,,,,,
D076,JOB007RIT,Responsibility,"Facilitator: Organized and led hands-on workshops, professional certification courses, game jams and training sessions on rapid prototyping and user testing for both the Crashtest and Upstate UX communities that bridged diverse disciplines, fostering a vibrant, collaborative community of emerging designers and technologists.",,,,,,
D077,JOB007RIT,Achievements and Impact,Community Building: Grew Crashtest to a scale and level of influence that it was adopted by faculty and institutionalized as a core component of the curriculum.,,,,,,
D078,JOB007RIT,Achievements and Impact,"Mentorship: Mentored many students and professionals, helping participants land jobs, secure clients, and gain recognition through the Crashtest community and TA sessions.",,,,,,
D079,JOB007RIT,Achievements and Impact,Instructional Leadership: Led IDEO Human-Centered Design certification courses for a mixed cohort of over 100 students and working industry professionals.,,,,,,
D080,JOB008MCC,Responsibility,"Developed and led a custom tech literacy course for foreign students struggling with digital tools, enabling them to complete coursework effectively.",,,,,,
D081,JOB008MCC,Responsibility,Curriculum Design: Independently designed and taught a comprehensive computer literacy course from the ground up to address foundational skill gaps among programming and general education students.,,,,,,
D082,JOB008MCC,Responsibility,"Tutoring: Provided one-on-one tutoring in programming (including Java), web development, and general digital literacy, tailoring support to individual learning needs.",,,,,,
D083,JOB008MCC,Responsibility,"Teaching Assistant: Assisted faculty as a Teaching Assistant for Advanced Java Programming, helping create accessible materials and facilitate classes.",,,,,,
D084,JOB008MCC,Responsibility,Student Advocacy: Identified that many students were struggling with coursework due to a lack of basic computer skills and created a solution that was promoted by professors across the college.,,,,,,
D085,JOB008MCC,Achievements and Impact,"Curriculum Development: Designed hands-on, project-based curricula for students with diverse technical backgrounds.",,,,,,
D086,JOB008MCC,Achievements and Impact,"Educational Enablement: Empowered dozens of non-technical, elderly, and foreign students to succeed in their coursework by providing them with fundamental computer skills.",,,,,,
D087,JOB008MCC,Achievements and Impact,"Instructional Impact: Helped students bridge the gap between complex technical concepts and practical application, fostering confidence and competency in programming and technology in a supportive learning environment.",,,,,,
D088,JOB008MCC,Achievements and Impact,"Proactive Problem-Solving: Demonstrated an early aptitude for identifying systemic problems and building repeatable, scalable solutions to address them.",,,,,,
